dataset,root_mode,rf,rt,n_runs,sum_w1,avg_w1,n_pairs,skipped_real,skipped_sim,median_root_to_leaf,seed,tree_path,cc_path,timestamp

ATGC0070,median_synthetic,0.01,0.001,5,30017.04369,1072.037275,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:45:05.982223Z
ATGC0070,median_synthetic,0.01,0.0031622777,5,10771.53006,384.6975022,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:45:06.638371Z
ATGC0070,median_synthetic,0.01,0.01,5,11122.95493,397.2483902,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:45:07.713116Z
ATGC0070,median_synthetic,0.01,0.031622777,5,10103.23357,360.8297705,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:45:10.652401Z
ATGC0070,median_synthetic,0.01,0.1,5,8935.839989,319.1371425,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:45:22.634365Z
ATGC0070,median_synthetic,0.01,0.31622777,5,8644.196417,308.7213006,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:46:01.465506Z
ATGC0070,median_synthetic,0.01,1,5,8436.077012,301.2884647,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:47:12.544163Z
ATGC0070,median_synthetic,0.01,3.1622777,5,3226.440263,115.2300094,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:48:29.613907Z
ATGC0070,median_synthetic,0.01,10,5,6774.354174,241.9412205,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:50:44.727117Z
ATGC0070,median_synthetic,0.031622777,0.001,5,8908.237584,318.1513423,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:50:45.989281Z
ATGC0070,median_synthetic,0.031622777,0.0031622777,5,9171.585854,327.5566377,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:50:47.430858Z
ATGC0070,median_synthetic,0.031622777,0.01,5,8911.867194,318.2809712,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:50:49.415020Z
ATGC0070,median_synthetic,0.031622777,0.031622777,5,14581.51865,520.7685233,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:50:54.253173Z
ATGC0070,median_synthetic,0.031622777,0.1,5,8619.98901,307.8567504,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:51:09.000393Z
ATGC0070,median_synthetic,0.031622777,0.31622777,5,8530.759907,304.6699967,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:51:48.327999Z
ATGC0070,median_synthetic,0.031622777,1,5,8571.054161,306.1090772,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:52:47.917729Z
ATGC0070,median_synthetic,0.031622777,3.1622777,5,8516.606394,304.1645141,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:54:02.272916Z
ATGC0070,median_synthetic,0.031622777,10,5,6574.61468,234.8076671,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:56:07.876406Z
ATGC0070,median_synthetic,0.1,0.001,5,7367.397004,263.1213216,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:56:13.332511Z
ATGC0070,median_synthetic,0.1,0.0031622777,5,7571.588819,270.4138864,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:56:18.669245Z
ATGC0070,median_synthetic,0.1,0.01,5,9075.907155,324.1395413,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:56:24.626874Z
ATGC0070,median_synthetic,0.1,0.031622777,5,9044.385614,323.0137719,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:56:32.694046Z
ATGC0070,median_synthetic,0.1,0.1,5,9039.476439,322.8384443,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:56:47.666176Z
ATGC0070,median_synthetic,0.1,0.31622777,5,9077.976975,324.2134634,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:57:19.139305Z
ATGC0070,median_synthetic,0.1,1,5,6969.886296,248.9245106,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:58:05.175815Z
ATGC0070,median_synthetic,0.1,3.1622777,5,7005.319864,250.1899951,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T15:59:09.386911Z
ATGC0070,median_synthetic,0.1,10,5,5011.069801,178.9667786,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:01:07.985748Z
ATGC0070,median_synthetic,0.31622777,0.001,5,10815.1105,386.2539465,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:01:22.554526Z
ATGC0070,median_synthetic,0.31622777,0.0031622777,5,8270.140001,295.3621429,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:01:37.148782Z
